,,,,,weight (g),width relaxed,height relaxed,width stretched,height stretched,,,,,,,,,,,,,,
,,,std dev,std dev,0.13,9.11,5.77,13.53,10.26,,,,,,,,,,,,,,
,,,median,median,3.98,103.00,82.00,171.00,100.00,,,,,,,,,,,,,,
,,,average,average,3.98,103.00,82.47,171.28,100.98,,,,,,,,,,,,,,
,,,max,max,4.37,129.00,101.00,227.00,179.00,,,,,,,,,,,,,,
,,,min,min,3.26,77.00,65.00,121.00,67.00,,,,,,,,,,,#DIV/0!,,,
knit?,datID,datPos,patternName,"if reprocessed, new ID",weight (g),width relaxed,height relaxed,width stretched,height stretched,KnitPaint error or other knitting notes,double decrease (in SM set),toMachine error,dataset,photo relaxed,photo stretched,Relaxed Width Gauge (st/mm),Relaxed Height Gauge (row/mm),Stretched Width Gauge (st/mm),Stretched Height Gauge (row/mm),Relaxed Width Gauge (st/in),Relaxed Height Gauge (row/in),Stretched Width Gauge (st/in),Stretched Height Gauge (row/in)
,,,,,,,,,,"note ""ESC"" = ""essential stitch collection"", ""SM"" = ""stitch maps""",,,,,,,,,,,,,
x,1,1,001Garter_out.chart,200_2,3.89,111,64,161,99,has been reknit to get photos (original swatch was left stretching for some time),,false ,ESC,,,0.5405405405,0.9375,0.3726708075,0.6060606061,13.72972973,23.8125,9.465838509,15.39393939
x,1,2,002FourRowWelting_out.chart,,3.79,111,56,280,70,,,false ,ESC,,,0.5405405405,1.071428571,0.2142857143,0.8571428571,13.72972973,27.21428571,5.442857143,21.77142857
x,1,3,003GarterWelting_out.chart,,3.92,106,61,202,74,,,false ,ESC,,,0.5660377358,0.9836065574,0.297029703,0.8108108108,14.37735849,24.98360656,7.544554455,20.59459459
x,2,1,004Stockinette_out.chart,,3.93,99,84,175,80,,,false ,ESC,,,0.6060606061,0.7142857143,0.3428571429,0.75,15.39393939,18.14285714,8.708571429,19.05
x,2,2,005ReverseStockinette_out.chart,,3.85,100,78,181,86,,,false ,ESC,,,0.6,0.7692307692,0.3314917127,0.6976744186,15.24,19.53846154,8.419889503,17.72093023
x,2,3,006Seed_out.chart,,4.21,119,85,244,95,,,false ,ESC,,,0.5042016807,0.7058823529,0.2459016393,0.6315789474,12.80672269,17.92941176,6.245901639,16.04210526
x,3,1,007Moss_out.chart,,4.20,103,104,215,90,,,false ,ESC,,,0.5825242718,0.5769230769,0.2790697674,0.6666666667,14.7961165,14.65384615,7.088372093,16.93333333
x,3,2,008SmallBlocks_out.chart,,4.05,107,84,202,92,,,false ,ESC,,,0.5607476636,0.7142857143,0.297029703,0.652173913,14.24299065,18.14285714,7.544554455,16.56521739
x,3,3,009k1p1rib_out.chart,,4.23,71,103,210,104,,,false ,ESC,,,0.8450704225,0.5825242718,0.2857142857,0.5769230769,21.46478873,14.7961165,7.257142857,14.65384615
x,4,1,010TwistedRib_out.chart,,4.37,73,101,215,106,not actually really twisted- technically just a rib,,false ,ESC,,,0.8219178082,0.5940594059,0.2790697674,0.5660377358,20.87671233,15.08910891,7.088372093,14.37735849
x,4,2,011BrokenSingleRib_out.chart,,4.09,97,86,218,75,,,false ,ESC,,,0.618556701,0.6976744186,0.2752293578,0.8,15.71134021,17.72093023,6.990825688,20.32
x,4,3,012Ribk2p2_out.chart,,4.12,61,95,179,86,,,false ,ESC,,,0.9836065574,0.6315789474,0.3351955307,0.6976744186,24.98360656,16.04210526,8.51396648,17.72093023
x,5,1,013BrokenDoubleRib_out.chart,,4.07,94,80,210,70,,,false ,ESC,,,0.6382978723,0.75,0.2857142857,0.8571428571,16.21276596,19.05,7.257142857,21.77142857
x,5,2,014TuckedRib_out.chart,,4.14,84,89,224,75,,,false ,ESC,,,0.7142857143,0.6741573034,0.2678571429,0.8,18.14285714,17.12359551,6.803571429,20.32
x,5,3,015KPDiagonals_out.chart,,4.07,103,81,200,80,,,false ,ESC,,,0.5825242718,0.7407407407,0.3,0.75,14.7961165,18.81481481,7.62,19.05
x,6,1,016LozengesStitch_out.chart,,4.04,110,75,206,81,,,false ,ESC,,,0.5454545455,0.8,0.2912621359,0.7407407407,13.85454545,20.32,7.398058252,18.81481481
x,6,2,017SquaresInSquares_out.chart,,3.98,98,80,199,81,,,false ,ESC,,,0.612244898,0.75,0.3015075377,0.7407407407,15.55102041,19.05,7.658291457,18.81481481
x,6,3,018SeedDiamond_out.chart,,4.13,82,111,200,96,,,false ,ESC,,,0.7317073171,0.5405405405,0.3,0.625,18.58536585,13.72972973,7.62,15.875
x,7,1,019MossStitchDiamonds_out.chart,,4.15,102,92,195,91,,,false ,ESC,,,0.5882352941,0.652173913,0.3076923077,0.6593406593,14.94117647,16.56521739,7.815384615,16.74725275
x,7,2,020DiamondBrocade_out.chart,,4.05,96,88,199,89,,,false ,ESC,,,0.625,0.6818181818,0.3015075377,0.6741573034,15.875,17.31818182,7.658291457,17.12359551
,false ,false ,022BiasStockinetteStitch_out.chart,,,,,,,,,This pattern requires an increase.,ESC,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,#DIV/0!
x,7,3,023StarsBrocade_out.chart,,4.11,105,83,147,110,,,false ,ESC,,,0.5714285714,0.7228915663,0.4081632653,0.5454545455,14.51428571,18.36144578,10.36734694,13.85454545
x,8,1,024EmbossedHexagons_out.chart,,4.04,101,80,189,83,,,false ,ESC,,,0.5940594059,0.75,0.3174603175,0.7228915663,15.08910891,19.05,8.063492063,18.36144578
x,8,2,025EmbossedPennants_out.chart,,4.10,103,85,196,91,,,false ,ESC,,,0.5825242718,0.7058823529,0.306122449,0.6593406593,14.7961165,17.92941176,7.775510204,16.74725275
x,8,3,027EmbossedChevrons_out.chart,,4.10,104,80,160,96,,,false ,ESC,,,0.5769230769,0.75,0.375,0.625,14.65384615,19.05,9.525,15.875
x,9,1,028BrocadeNet_out.chart,,4.14,104,83,139,91,,,false ,ESC,,,0.5769230769,0.7228915663,0.4316546763,0.6593406593,14.65384615,18.36144578,10.96402878,16.74725275
x,9,2,029EmbossedMossDiamonds_out.chart,,4.15,104,95,201,95,,,false ,ESC,,,0.5769230769,0.6315789474,0.2985074627,0.6315789474,14.65384615,16.04210526,7.582089552,16.04210526
x,9,3,032Star_out.chart,,4.11,106,83,215,81,,,false ,ESC,,,0.5660377358,0.7228915663,0.2790697674,0.7407407407,14.37735849,18.36144578,7.088372093,18.81481481
x,10,1,033PlaidWeave_out.chart,,4.02,104,68,144,96,,,false ,ESC,,,0.5769230769,0.8823529412,0.4166666667,0.625,14.65384615,22.41176471,10.58333333,15.875
x,10,2,034BrokenRibBacketWeave_out.chart,,4.01,101,79,143,90,,,false ,ESC,,,0.5940594059,0.7594936709,0.4195804196,0.6666666667,15.08910891,19.29113924,10.65734266,16.93333333
,false ,false ,035BlackberryStitch_out.chart,,4.13,,,,,,,This pattern requires an increase.,ESC,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,#DIV/0!
x,10,3,037SubtleTwist_out.chart,,3.93,93,80,129,86,,,false ,ESC,,,0.6451612903,0.75,0.4651162791,0.6976744186,16.38709677,19.05,11.81395349,17.72093023
x,11,1,038WheatearRib_out.chart,,4.13,80,85,141,100,,,false ,ESC,,,0.75,0.7058823529,0.4255319149,0.6,19.05,17.92941176,10.80851064,15.24
x,11,2,039TexturedTrellis_out.chart,,4.11,95,86,151,85,,,false ,ESC,,,0.6315789474,0.6976744186,0.3973509934,0.7058823529,16.04210526,17.72093023,10.09271523,17.92941176
x,11,3,040GarterDiamond_out.chart,,4.01,96,79,150,94,,,false ,ESC,,,0.625,0.7594936709,0.4,0.6382978723,15.875,19.29113924,10.16,16.21276596
x,12,1,041LittleLattice_out.chart,,4.16,86,87,150,93,,,false ,ESC,,,0.6976744186,0.6896551724,0.4,0.6451612903,17.72093023,17.51724138,10.16,16.38709677
x,12,2,043RocketTrail_out.chart,,3.82,99,83,178,85,,,false ,ESC,,,0.6060606061,0.7228915663,0.3370786517,0.7058823529,15.39393939,18.36144578,8.561797753,17.92941176
x,12,3,044InterlacedRib_out.chart,,3.91,85,89,150,100,,,false ,ESC,,,0.7058823529,0.6741573034,0.4,0.6,17.92941176,17.12359551,10.16,15.24
x,13,1,045DoubleInterlacedLattice_out.chart,,4.01,89,87,167,81,,,false ,ESC,,,0.6741573034,0.6896551724,0.3592814371,0.7407407407,17.12359551,17.51724138,9.125748503,18.81481481
x,13,2,047GrilleAndTwistPanel_out.chart,,4.08,86,88,164,99,,,false ,ESC,,,0.6976744186,0.6818181818,0.3658536585,0.6060606061,17.72093023,17.31818182,9.292682927,15.39393939
x,13,3,049TravelingTwists_out.chart,,4.27,86,91,163,91,,,false ,ESC,,,0.6976744186,0.6593406593,0.3680981595,0.6593406593,17.72093023,16.74725275,9.349693252,16.74725275
x,14,1,051TwistedMockCables_out.chart,,4.11,89,88,155,71,,,false ,ESC,,,0.6741573034,0.6818181818,0.3870967742,0.8450704225,17.12359551,17.31818182,9.832258065,21.46478873
x,14,2,052TwistedStemLeaves_out.chart,,3.96,94,83,160,83,,,false ,ESC,,,0.6382978723,0.7228915663,0.375,0.7228915663,16.21276596,18.36144578,9.525,18.36144578
x,14,3,053OpenClosedDiagonals_out.chart,,3.94,104,74,155,86,,,false ,ESC,,,0.5769230769,0.8108108108,0.3870967742,0.6976744186,14.65384615,20.59459459,9.832258065,17.72093023
x,15,1,055BraidedRib_out.chart,,3.92,88,73,156,70,,,false ,ESC,,,0.6818181818,0.8219178082,0.3846153846,0.8571428571,17.31818182,20.87671233,9.769230769,21.77142857
x,15,2,056Lightning_out.chart,,3.95,97,75,163,78,,,false ,ESC,,,0.618556701,0.8,0.3680981595,0.7692307692,15.71134021,20.32,9.349693252,19.53846154
x,15,3,058PairedLeaves_out.chart,,4.06,91,82,159,86,,,false ,ESC,,,0.6593406593,0.7317073171,0.3773584906,0.6976744186,16.74725275,18.58536585,9.58490566,17.72093023
x,16,1,059TeaxturedWaves_out.chart,,4.17,105,85,186,90,,,false ,ESC,,,0.5714285714,0.7058823529,0.3225806452,0.6666666667,14.51428571,17.92941176,8.193548387,16.93333333
x,16,2,060MiniMockCableLattice_out.chart,,4.11,87,85,170,78,,,false ,ESC,,,0.6896551724,0.7058823529,0.3529411765,0.7692307692,17.51724138,17.92941176,8.964705882,19.53846154
x,16,3,062Illusion_out.chart,,3.92,91,77,148,75,,,false ,ESC,,,0.6593406593,0.7792207792,0.4054054054,0.8,16.74725275,19.79220779,10.2972973,20.32
x,17,1,064Reed_out.chart,,4.07,90,84,161,95,front/back side flip bug in pattern (repeat is wrong-side),,false ,ESC,,,0.6666666667,0.7142857143,0.3726708075,0.6315789474,16.93333333,18.14285714,9.465838509,16.04210526
x,17,2,066DoubleBranchingRib_out.chart,,4.03,89,88,182,86,,,false ,ESC,,,0.6741573034,0.6818181818,0.3296703297,0.6976744186,17.12359551,17.31818182,8.373626374,17.72093023
x,17,3,068EngravedDiamonds_out.chart,,3.88,91,79,154,71,,,false ,ESC,,,0.6593406593,0.7594936709,0.3896103896,0.8450704225,16.74725275,19.29113924,9.896103896,21.46478873
x,18,1,070InterwovenDiamonds_out.chart,201_1,3.88,92,65,125,87,reknit -- some dropped/weak stitches,,false ,ESC,,,0.652173913,0.9230769231,0.48,0.6896551724,16.56521739,23.44615385,12.192,17.51724138
,false ,false ,074WovenCable_out.chart,,,,,,,fails to pass toMachine because 3x3 cable,,Error: Operation Error: trying to xfer from empty needle b-60.,ESC,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-1,#DIV/0!,#DIV/0!,#DIV/0!
x,18,2,075Chain_out.chart,,3.87,84,71,120,80,,,false ,ESC,,,0.7142857143,0.8450704225,0.5,0.75,18.14285714,21.46478873,12.7,19.05
x,18,3,075WavesL_out.chart,,3.91,81,72,120,77,,,false ,ESC,,,0.7407407407,0.8333333333,0.5,0.7792207792,18.81481481,21.16666667,12.7,19.79220779
x,19,1,075WavesR_out.chart,,3.89,81,72,120,80,,,false ,ESC,,,0.7407407407,0.8333333333,0.5,0.75,18.81481481,21.16666667,12.7,19.05
x,19,2,076DoubleHoneyComb_out.chart,,3.87,89,75,124,88,,,false ,ESC,,,0.6741573034,0.8,0.4838709677,0.6818181818,17.12359551,20.32,12.29032258,17.31818182
x,19,3,077RopeAndHoop_out.chart,,3.80,81,83,131,100,,,false ,ESC,,,0.7407407407,0.7228915663,0.4580152672,0.6,18.81481481,18.36144578,11.63358779,15.24
x,20,1,078CrackerChecks_out.chart,,3.98,91,79,170,80,k/p inversion? ask megan (update: megan says this one is supposed to look like this),,false ,ESC,,,0.6593406593,0.7594936709,0.3529411765,0.75,16.74725275,19.29113924,8.964705882,19.05
