"datID","datPos","patternName","simpleName","Source","Second Measurement?","Mass (g)","Relaxed Width (mm)","Relaxed Height (mm)","Stretched Width (mm)","Stretched Height (mm)","Note"
1,1,"001Garter_out.chart","1_1_001Garter",ESC,,3.89,111,64,161,99,"has been reknit to get photos (original swatch was left stretching for some time)"
1,2,"002FourRowWelting_out.chart","1_2_002FourRowWelting",ESC,,3.79,111,56,280,70,
1,3,"003GarterWelting_out.chart","1_3_003GarterWelting",ESC,,3.92,106,61,202,74,
2,1,"004Stockinette_out.chart","2_1_004Stockinette",ESC,,3.93,99,84,175,80,
2,2,"005ReverseStockinette_out.chart","2_2_005ReverseStockinette",ESC,,3.85,100,78,181,86,
2,3,"006Seed_out.chart","2_3_006Seed",ESC,,4.21,119,85,244,95,"Note: multiple ""_dark"" photos for background coverage"
3,1,"007Moss_out.chart","3_1_007Moss",ESC,,4.20,103,104,215,90,
3,2,"008SmallBlocks_out.chart","3_2_008SmallBlocks",ESC,,4.05,107,84,202,92,
3,3,"009k1p1rib_out.chart","3_3_009k1p1rib",ESC,,4.23,71,103,210,104,
4,1,"010TwistedRib_out.chart","4_1_010TwistedRib",ESC,,4.37,73,101,215,106,"not actually really twisted- technically just a rib"
4,2,"011BrokenSingleRib_out.chart","4_2_011BrokenSingleRib",ESC,,4.09,97,86,218,75,
4,3,"012Ribk2p2_out.chart","4_3_012Ribk2p2",ESC,,4.12,61,95,179,86,
5,1,"013BrokenDoubleRib_out.chart","5_1_013BrokenDoubleRib",ESC,,4.07,94,80,210,70,
5,2,"014TuckedRib_out.chart","5_2_014TuckedRib",ESC,,4.14,84,89,224,75,
5,3,"015KPDiagonals_out.chart","5_3_015KPDiagonals",ESC,,4.07,103,81,200,80,
6,1,"016LozengesStitch_out.chart","6_1_016LozengesStitch",ESC,,4.04,110,75,206,81,
6,2,"017SquaresInSquares_out.chart","6_2_017SquaresInSquares",ESC,,3.98,98,80,199,81,
6,3,"018SeedDiamond_out.chart","6_3_018SeedDiamond",ESC,,4.13,82,111,200,96,
7,1,"019MossStitchDiamonds_out.chart","7_1_019MossStitchDiamonds",ESC,,4.15,102,92,195,91,
